Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61158294,"Ta, co jde první",Livia Llewellyn,"Llewellyn, Livia","Laird Barron, Roman Tilcer","=""8011013858""","=""9788011013851""",0,4.01,Medusa,Paperback,164,2022,,,2023/11/10,to-read,to-read (#33),to-read,,,,0,0
35061227,Živel,Jess Kidd,"Kidd, Jess",Roman Tilcer,"=""8075771060""","=""9788075771063""",0,3.92,Host,Hardcover,327,2017,2017,,2023/11/10,to-read,to-read (#34),to-read,,,,0,0
59437957,Tráva,Anya Martin,"Martin, Anya","Roman Tilcer, Gwendolyn Kiste","=""""","=""9788011002695""",0,3.89,Medusa,Paperback,152,2021,2016,,2023/11/10,to-read,to-read (#32),to-read,,,,0,0
12370861,"Rudá moře pod rudými nebesy (Páni parchanti, #2)",Scott Lynch,"Lynch, Scott",Roman Tilcer,"=""8071933295""","=""9788071933298""",0,4.24,Laser-Books,Paperback,562,2011,2007,,2023/11/10,to-read,to-read (#31),to-read,,,,0,0
56899876,"Půl války (Moře střepů, #3)",Joe Abercrombie,"Abercrombie, Joe",Roman Tilcer,"=""""","=""9788024272306""",0,4.03,Laser books,Paperback,424,2021,2015,,2023/11/10,to-read,to-read (#30),to-read,,,,0,0
45361482,"Nahraný (Kroniky železného druida, #5)",Kevin Hearne,"Hearne, Kevin",Roman Tilcer,"=""""","=""9788076174016""",0,4.27,Laser books,Paperback,304,2019,2012,,2023/11/10,to-read,to-read (#29),to-read,,,,0,0
58942007,Smrtící Luna (Snová krev #1),N.K. Jemisin,"Jemisin, N.K.",Roman Tilcer,"=""802750676X""","=""9788027506767""",0,3.95,Host ,Hardcover,440,2021,2012,,2023/11/10,to-read,to-read (#28),to-read,,,,0,0
23588496,"Napálený (Kroniky železného druida, #4)",Kevin Hearne,"Hearne, Kevin",Roman Tilcer,"=""8071933848""","=""9788071933847""",0,4.25,Laser-books,Paperback,328,2014,2012,,2023/11/10,to-read,to-read (#27),to-read,,,,0,0
13486335,Ostrov Sukkwan,David Vann,"Vann, David",Roman Tilcer,"=""""","=""9788025704967""",0,3.78,Argo,Hardcover,160,2011,2008,,2023/11/10,to-read,to-read (#26),to-read,,,,0,0
48746314,"Půl světa (Moře střepů, #2)",Joe Abercrombie,"Abercrombie, Joe",Roman Tilcer,"=""9788076179""","=""""",0,4.19,Laser books,Paperback,424,2019,2015,,2023/11/10,to-read,to-read (#25),to-read,,,,0,0
62052121,"Stín bohů (Krvopřísežní, #1)",John Gwynne,"Gwynne, John",Roman Tilcer,"=""""","=""9788027511211""",0,4.26,Host,Hardcover,510,2022,2021,,2023/11/10,to-read,to-read (#24),to-read,,,,0,0
15746438,"Praštěný (Kroniky železného druida, #3)",Kevin Hearne,"Hearne, Kevin",Roman Tilcer,"=""807193366X""","=""9788071933663""",0,4.21,Laser-books,Paperback,304,2013,2011,,2023/11/10,to-read,to-read (#23),to-read,,,,0,0
57168831,Chmurný Válečník,Alistair Rennie,"Rennie, Alistair","Roman Tilcer, Tomáš Kučerovský","=""""","=""9788088321286""",0,4.01,Planeta9,Hardcover,352,2021,2016,,2023/11/10,to-read,to-read (#22),to-read,,,,0,0
15746418,"Proklatý (Kroniky železného druida, #2)",Kevin Hearne,"Hearne, Kevin",Roman Tilcer,"=""8071933600""","=""9788071933601""",0,4.22,Laser Books,Paperback,277,2012,2011,,2023/11/10,to-read,to-read (#21),to-read,,,,0,0
25486549,"Gaiin štít: Příběhy železného druida (Kroniky železného druida, #0.4, 0.5, 0.6, 3.5, 4.5, 4.6, 4.8)",Kevin Hearne,"Hearne, Kevin",Roman Tilcer,"=""8071933902""","=""9788071933908""",0,4.17,Laser-books,Paperback,264,2015,,,2023/11/10,to-read,to-read (#19),to-read,,,,0,0
55847903,"Kamenné nebe (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",Roman Tilcer,"=""8027503396""","=""9788027503391""",0,4.35,Host,Hardcover,391,2020,2017,,2023/11/10,to-read,to-read (#20),to-read,,,,0,0
9726320,"Lži Lockeho Lamory (Páni parchanti, #1)",Scott Lynch,"Lynch, Scott",Roman Tilcer,"=""807193285X""","=""9788071932857""",0,4.30,Laser-Books,Paperback,496,2009,2006,,2023/11/10,to-read,to-read (#18),to-read,,,,0,0
15703873,"Prohnaný (Kroniky železného druida, #1)",Kevin Hearne,"Hearne, Kevin",Roman Tilcer,"=""807193352X""","=""9788071933526""",0,4.09,Laser Books,Paperback,272,2012,2011,,2023/11/10,to-read,to-read (#17),to-read,,,,0,0
41949698,"Půl krále (Moře střepů, #1)",Joe Abercrombie,"Abercrombie, Joe",Roman Tilcer,"=""""","=""9788075499530""",0,3.97,Laser,Paperback,328,2018,2014,,2023/11/10,to-read,to-read (#16),to-read,,,,0,0
40523782,Páté roční období,N.K. Jemisin,"Jemisin, N.K.",Roman Tilcer,"=""8075775600""","=""9788075775603""",0,4.31,Host,Hardcover,450,2018,2015,,2023/11/10,to-read,to-read (#15),to-read,,,,0,0
200703177,"Švédské umění dobrého stárnutí: Rady do života od někoho, kdo (nejspíš) umře dřív než vy",Margareta Magnusson,"Magnusson, Margareta",Vojtěch Ettler,"=""""","=""9788027134342""",0,3.56,Alferia,Hardcover,176,2023,2022,,2023/11/10,to-read,to-read (#14),to-read,,,,0,0
200019890,Tou horou jste vy,Brianna Wiest,"Wiest, Brianna",Vojtěch Ettler,"=""""","=""9788082500656""",0,4.12,Aurora,Paperback,224,2023,2020,,2023/11/10,to-read,to-read (#13),to-read,,,,0,0
53470945,Geniální experiment (Max Einsteinová #1),James Patterson,"Patterson, James","Vojtěch Ettler, Chris Grabenstein","=""""","=""9788075299734""",0,4.18,Brio,Hardcover,344,2019,2018,,2023/11/10,to-read,to-read (#12),to-read,,,,0,0
40028040,Ztraceni ve hře,Karuna Riazi,"Riazi, Karuna",Vojtěch Ettler,"=""""","=""9788025335895""",0,3.71,Fragment,Hardcover,240,2018,2017,,2023/11/10,to-read,to-read (#11),to-read,,,,0,0
44003297,Souboj čarodějů,Lauren Magaziner,"Magaziner, Lauren",Vojtěch Ettler,"=""""","=""9788025339091""",0,4.22,Fragment,Hardcover,240,2018,2018,,2023/11/10,to-read,to-read (#10),to-read,,,,0,0
37909527,"Poslání (Trosečníci v čase, #2)",Margaret Peterson Haddix,"Haddix, Margaret Peterson",Vojtěch Ettler,"=""""","=""9788025332443""",0,3.95,Fragment,Hardcover,279,2017,2009,,2023/11/10,to-read,to-read (#9),to-read,,,,0,0
51720791,Mají chobotnice duši?,Sy Montgomery,"Montgomery, Sy",Vojtěch Ettler,"=""""","=""9788088316381""",0,3.92,Nakladatelství KAZDA,,280,,2015,,2023/11/10,to-read,to-read (#7),to-read,,,,0,0
32702236,"Setkání (Trosečníci v čase, #1)",Margaret Peterson Haddix,"Haddix, Margaret Peterson",Vojtěch Ettler,"=""""","=""9788025329719""",0,3.98,Fragment,Hardcover,285,2016,2008,,2023/11/10,to-read,to-read (#8),to-read,,,,0,0
58600964,Krása jednoduchosti,Satiš Kumár,"Kumár, Satiš",Vojtěch Ettler,"=""""","=""9788027130856""",0,4.05,Alferia,Paperback,224,2021,,,2023/11/10,to-read,to-read (#6),to-read,,,,0,0
58793696,Naslouchání mechu,Robin Wall Kimmerer,"Kimmerer, Robin Wall",Vojtěch Ettler,"=""""","=""9788076700406""",0,4.39,Kazda,Hardcover,208,,2003,,2023/11/10,to-read,to-read (#5),to-read,,,,0,0
37803149,Řád věčných trnů (Dominium Padlých andělů #2),Aliette de Bodard,"Bodard, Aliette de","Aliette de Bodardová, Vojtěch Ettler","=""8075772512""","=""9788075772510""",0,3.95,Host,Paperback,416,2018,2017,,2023/11/10,to-read,to-read (#4),to-read,,,,0,0
34886356,"Řád zlomených křídel (Dominium Padlých andělů, #1)",Aliette de Bodard,"Bodard, Aliette de","Aliette de Bodardová, Vojtěch Ettler","=""8075770331""","=""9788075770332""",0,3.40,HOST,Paperback,424,2017,2015,,2023/11/10,to-read,to-read (#3),to-read,,,,0,0
41562443,"Chlapec na mostě (Všemi dary obdarovaná, #2)",M.R. Carey,"Carey, M.R.",Vojtěch Ettler,"=""8075775317""","=""9788075775313""",0,3.96,Host,Hardcover,456,2018,2017,,2023/11/10,to-read,to-read (#2),to-read,,,,0,0
